2026-06-12T07:56:27Z mrpt: no open positions — skip
2026-06-12T07:56:28Z mtfs: checked 13 tickers — no pending actions
2026-06-12T08:07:47Z mrpt: no open positions — skip
2026-06-12T08:07:47Z mtfs: checked 13 tickers — no pending actions
2026-06-12T09:44:14Z mrpt: no open positions — skip
2026-06-12T09:44:14Z mtfs: checked 13 tickers — no pending actions
2026-06-12T17:36:02Z [CA][mrpt] status=NO-POSITIONS | no open pairs
2026-06-12T17:36:02Z [CA][mtfs] status=ALREADY-APPLIED | tickers=13 splits-in-window=['KLAC@2026-06-12'] pending=none applied=0
2026-06-12T17:36:02Z [CA][aiss] status=DRY-RUN | tickers=9 detected=['KLAC 1:10@2026-06-12'] pending=1 applied=0
2026-06-12T17:36:02Z [CA][ssrs] status=NO-ACTION-NEEDED | tickers=5 detected=none pending=0 applied=0
2026-06-12T17:36:27Z [CA][aiss] status=APPLIED | tickers=9 detected=['KLAC 1:10@2026-06-12'] pending=1 applied=1
2026-06-12T17:36:40Z [CA][aiss] status=NO-ACTION-NEEDED | tickers=9 detected=none pending=0 applied=0
2026-06-12T21:34:34Z [CA][ssrs] status=ALREADY-APPLIED | tickers=5 splits-in-window=['XLB@2025-12-05', 'XLE@2025-12-05', 'XLY@2025-12-05'] pending=none applied=0
2026-06-12T22:41:19Z [CA][aiss] status=ALREADY-APPLIED | tickers=9 splits-in-window=['KLAC@2026-06-12', 'LRCX@2024-10-03', 'NVDA@2024-06-10'] pending=none applied=0
2026-06-13T07:16:24Z [CA][mrpt] status=NO-POSITIONS | no open pairs
2026-06-13T07:16:25Z [CA][mtfs] status=ALREADY-APPLIED | tickers=13 splits-in-window=['KLAC@2026-06-12'] pending=none applied=0
2026-06-13T07:57:05Z [CA][mrpt] status=NO-POSITIONS | no open pairs
2026-06-13T07:57:05Z [CA][mtfs] status=ALREADY-APPLIED | tickers=13 applicable-splits=['KLAC@2026-06-12'] pending=none applied=0
2026-06-13T07:57:05Z [CA][aiss] status=ALREADY-APPLIED | tickers=9 applicable-splits=['KLAC@2026-06-12'] pending=none applied=0
2026-06-13T07:57:05Z [CA][ssrs] status=NO-ACTION-NEEDED | tickers=5 applicable-splits=none pending=none applied=0
2026-06-17T07:15:22Z [CA][mrpt] status=NO-ACTION-NEEDED | tickers=4 applicable-splits=none pending=none applied=0
2026-06-17T07:15:22Z [CA][mtfs] status=ALREADY-APPLIED | tickers=13 applicable-splits=['KLAC@2026-06-12'] pending=none applied=0
2026-06-17T21:36:57Z [CA][ssrs] status=NO-ACTION-NEEDED | tickers=5 applicable-splits=none pending=none applied=0
2026-06-17T22:41:24Z [CA][aiss] status=ALREADY-APPLIED | tickers=9 applicable-splits=['KLAC@2026-06-12'] pending=none applied=0
2026-06-18T08:33:43Z [CA][mrpt] status=NO-ACTION-NEEDED | tickers=2 applicable-splits=none pending=none applied=0
2026-06-18T08:33:43Z [CA][mtfs] status=ALREADY-APPLIED | tickers=9 applicable-splits=['KLAC@2026-06-12'] pending=none applied=0
2026-06-18T21:35:58Z [CA][ssrs] status=NO-ACTION-NEEDED | tickers=5 applicable-splits=none pending=none applied=0
2026-06-18T22:41:25Z [CA][aiss] status=ALREADY-APPLIED | tickers=9 applicable-splits=['KLAC@2026-06-12'] pending=none applied=0
2026-06-19T08:45:05Z [CA][mrpt] status=NO-ACTION-NEEDED | tickers=4 applicable-splits=none pending=none applied=0
2026-06-19T08:45:05Z [CA][mtfs] status=ALREADY-APPLIED | tickers=4 applicable-splits=['KLAC@2026-06-12'] pending=none applied=0
2026-06-22T21:36:23Z [CA][ssrs] status=NO-ACTION-NEEDED | tickers=5 applicable-splits=none pending=none applied=0
2026-06-22T22:41:25Z [CA][aiss] status=ALREADY-APPLIED | tickers=9 applicable-splits=['KLAC@2026-06-12'] pending=none applied=0
2026-06-23T08:49:31Z [CA][mrpt] status=NO-ACTION-NEEDED | tickers=6 applicable-splits=none pending=none applied=0
2026-06-23T08:49:31Z [CA][mtfs] status=ALREADY-APPLIED | tickers=4 applicable-splits=['KLAC@2026-06-12'] pending=none applied=0
2026-06-23T21:35:19Z [CA][ssrs] status=NO-ACTION-NEEDED | tickers=5 applicable-splits=none pending=none applied=0
2026-06-23T22:41:13Z [CA][aiss] status=ALREADY-APPLIED | tickers=9 applicable-splits=['KLAC@2026-06-12'] pending=none applied=0
2026-06-24T08:38:24Z [CA][mrpt] status=NO-ACTION-NEEDED | tickers=2 applicable-splits=none pending=none applied=0
2026-06-24T08:38:24Z [CA][mtfs] status=NO-POSITIONS | no open pairs
2026-06-24T21:37:25Z [CA][ssrs] status=NO-ACTION-NEEDED | tickers=5 applicable-splits=none pending=none applied=0
2026-06-24T22:41:18Z [CA][aiss] status=ALREADY-APPLIED | tickers=9 applicable-splits=['KLAC@2026-06-12'] pending=none applied=0
